Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,COCONUT BOUTIQUE RESORT LOMBOK,"Jl. Raya Meninting Dusun, Peresak, Kec. Batu Layar, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83355","Peresak, Kec. Batu Layar, Kabupaten Lombok Barat",NUSA TENGGARA BARAT,83355.0,Indonesia,87716604888,,,-85.518.218,1.160.746.417,https://maps.google.com/?cid=0x0:0x4d17ac36877d90bb,
hotel,hotel,Grand Madani Hotel,"Jl. Udayana No.20, Monjok Bar., Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83122","Monjok Bar., Kec. Selaparang, Kota Mataram",NUSA TENGGARA BARAT,83122.0,Indonesia,81907000525,,,-85.754.969,11.610.281,https://maps.google.com/?cid=0x0:0xdf5f1bdd05645429,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xdf5f1bdd05645429%7C/g/11bx8j2b_7%7Cid-ID,
hotel,hotel,Kost  Homestay 911,"Jl. Ubur-Ubur Raya No.911, Taman Sari, Kec. Ampenan, Kota Mataram, Nusa Tenggara Bar. 83114","Taman Sari, Kec. Ampenan, Kota Mataram",NUSA TENGGARA BARAT,83114.0,Indonesia,2129707601,,,-85.856.029,1.160.789.467,https://maps.google.com/?cid=0x0:0x95946eb10457e534,
hotel,hotel,The Lavana Hidden Villa Lombok,"Jl. Kembung No.11, Bintaro, Kec. Ampenan, Kota Mataram, Nusa Tenggara Bar.","Kota Mataram, Nusa Tenggara Bar.",NUSA TENGGARA BARAT,,Indonesia,89680000788,,,-8.565.014,1.160.749.065,https://maps.google.com/?cid=0x0:0x8d24c0a48bd2b679,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xa2663dcf0feca354%7C/g/11b6m11rsc%7Cid-ID,
hotel,hotel,favehotel Langko Mataram,"Jl. Langko No.21-23, Dasan Agung Baru, Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83125","Dasan Agung Baru, Kec. Selaparang, Kota Mataram",NUSA TENGGARA BARAT,83125.0,Indonesia,3706170111,,,-85.805.612,1.160.976.407,https://maps.google.com/?cid=0x0:0xa2663dcf0feca354,
hotel,hotel,Nusa Tenggara Bar. 83113,"Kec. Ampenan, Kota Mataram, Nusa Tenggara Bar.","Kota Mataram, Nusa Tenggara Bar.",NUSA TENGGARA BARAT,,Indonesia,,,,-85.737.631,1.160.931.026,https://maps.google.com/?cid=0x0:0x1c00c5eb6016c3d0,
hotel,hotel,Prime Park Hotel  Convention Lombok,"Jl. Udayana No.16, Monjok Bar., Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83121","Monjok Bar., Kec. Selaparang, Kota Mataram",NUSA TENGGARA BARAT,83121.0,Indonesia,3706112000,,,-85.764.856,1.161.026.698,https://maps.google.com/?cid=0x0:0x97c7983c1f1bf06c,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x97c7983c1f1bf06c%7C/g/11g873xmbs%7Cid-ID,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x290c4c74b776b887%7C/g/11xwcrn3h%7Cid-ID,
hotel,hotel,Lombok Astoria,"Jl. Jend. Sudirman No.40, Rembiga, Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83124","Rembiga, Kec. Selaparang, Kota Mataram",NUSA TENGGARA BARAT,83124.0,Indonesia,3706170999,,,-85.647.115,1.161.209.114,https://maps.google.com/?cid=0x0:0x45ecf492cff9eca0,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x45ecf492cff9eca0%7C/g/11ckvkqfrp%7Cid-ID,
hotel,hotel,Aston Inn Mataram,"Jl. Panca Usaha No.1, Cilinaya, Kec. Cakranegara, Kota Mataram, Nusa Tenggara Bar. 83239","Cilinaya, Kec. Cakranegara, Kota Mataram",NUSA TENGGARA BARAT,83239.0,Indonesia,3707505000,,,-85.887.135,1.161.180.948,https://maps.google.com/?cid=0x0:0x5fe5239bc046779e,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x5fe5239bc046779e%7C/g/11cn93ch48%7Cid-ID,
hotel,hotel,Grand Madani Hotel,"Jl. Udayana No.20, Monjok Bar., Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83122","Monjok Bar., Kec. Selaparang, Kota Mataram",NUSA TENGGARA BARAT,83122.0,Indonesia,81907000525,,,-85.754.969,11.610.281,https://maps.google.com/?cid=0x0:0xdf5f1bdd05645429,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xdf5f1bdd05645429%7C/g/11bx8j2b_7%7Cid-ID,
hotel,hotel,Mataram Square Hotel,"Jl. R Suprapto No.21A, Taman Sari, Kec. Ampenan, Kota Mataram, Nusa Tenggara Bar. 83112","Taman Sari, Kec. Ampenan, Kota Mataram",NUSA TENGGARA BARAT,83112.0,Indonesia,370631919,,,-85.822.309,1.160.861.383,https://maps.google.com/?cid=0x0:0x62fce22eaf80ea11,
hotel,hotel,Griya perdana,"08 Gang Perdana, BTN. Kel. Pejeruk, Mataram, Barat, Ampenan, Lombok, West Nusa Tenggara 83113","BTN. Kel. Pejeruk, Mataram, Barat, Ampenan, Lombok",NUSA TENGGARA BARAT,83113.0,Indonesia,2129707601,,,-85.682.211,1.160.925.704,https://maps.google.com/?cid=0x0:0xc49397ed5261f2ee,
hotel,hotel,NUTANA HOTEL LOMBOK,"Jl. Airlangga Cakranegara Selatan No.14, Mataram Bar., Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83126","Mataram Bar., Kec. Selaparang, Kota Mataram",NUSA TENGGARA BARAT,83126.0,Indonesia,370624703,,,-85.874.565,1.161.005.221,https://maps.google.com/?cid=0x0:0x8b508d89bd69261e,
hotel,hotel,Lombok Raya Hotel,"Jl. Panca Usaha No.11, Cilinaya, Kec. Cakranegara, Kota Mataram, Nusa Tenggara Bar. 83231","Cilinaya, Kec. Cakranegara, Kota Mataram",NUSA TENGGARA BARAT,83231.0,Indonesia,370632305,,,-85.898.964,1.161.186.695,https://maps.google.com/?cid=0x0:0xcfe52a9fac79d466,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xcfe52a9fac79d466%7C/g/1vyr83mv%7Cid-ID,
hotel,hotel,Golden Palace Hotel Lombok,"Jl. Sriwijaya No.38, Sapta Marga, Kec. Cakranegara, Kota Mataram, Nusa Tenggara Bar. 83232","Sapta Marga, Kec. Cakranegara, Kota Mataram",NUSA TENGGARA BARAT,83232.0,Indonesia,3706170000,,,-85.940.627,1.161.220.484,https://maps.google.com/?cid=0x0:0x165bac21d00bf43d,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x165bac21d00bf43d%7C/g/11b60rgw4p%7Cid-ID,
hotel,hotel,favehotel Langko Mataram,"Jl. Langko No.21-23, Dasan Agung Baru, Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83125","Dasan Agung Baru, Kec. Selaparang, Kota Mataram",NUSA TENGGARA BARAT,83125.0,Indonesia,3706170111,,,-85.805.612,1.160.976.407,https://maps.google.com/?cid=0x0:0xa2663dcf0feca354,
hotel,hotel,GRIYA ASRI HOTEL,"Jl. Pendidikan No.58, Dasan Agung Baru, Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83125","Dasan Agung Baru, Kec. Selaparang, Kota Mataram",NUSA TENGGARA BARAT,83125.0,Indonesia,81910099666,,,-85.805.496,1.160.904.137,https://maps.google.com/?cid=0x0:0x53c9049204a5cf4e,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xa2663dcf0feca354%7C/g/11b6m11rsc%7Cid-ID,
hotel,hotel,Hotel Sapadia Mataram,"C34W+JXH, Pagesangan Bar., Kec. Mataram, Kota Mataram, Nusa Tenggara Bar. 83115","Pagesangan Bar., Kec. Mataram, Kota Mataram",NUSA TENGGARA BARAT,83115.0,Indonesia,,,,-85.934.282,1.160.974.995,https://maps.google.com/?cid=0x0:0xc4f456bdb0784c09,
hotel,hotel,Narmada Convention Hall,"Jl. Majapahit No.11, Pagesangan Bar., Kec. Mataram, Kota Mataram, Nusa Tenggara Bar. 83115","Pagesangan Bar., Kec. Mataram, Kota Mataram",NUSA TENGGARA BARAT,83115.0,Indonesia,,,,-85.936.331,1.160.973.773,https://maps.google.com/?cid=0x0:0x2aea86d17253f079,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x2aea86d17253f079%7C/g/11cff1wpv%7Cid-ID,
hotel,hotel,COCONUT BOUTIQUE RESORT LOMBOK,"Jl. Raya Meninting Dusun, Peresak, Kec. Batu Layar, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83355","Peresak, Kec. Batu Layar, Kabupaten Lombok Barat",NUSA TENGGARA BARAT,83355.0,Indonesia,87716604888,,,-85.518.218,1.160.746.417,https://maps.google.com/?cid=0x0:0x4d17ac36877d90bb,
hotel,hotel,Ayom Suite Mataram,"Jl. Gili Asahan No.2, Karang Baru, Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83111","Karang Baru, Kec. Selaparang, Kota Mataram",NUSA TENGGARA BARAT,83111.0,Indonesia,81139019000,,,-85.644.888,1.161.042.452,https://maps.google.com/?cid=0x0:0x9e02c31380fb89a0,
hotel,hotel,Sunwood Hotel Arianz Mataram,"Jl. Catur Warga No.33, Mataram Bar., Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83126","Mataram Bar., Kec. Selaparang, Kota Mataram",NUSA TENGGARA BARAT,83126.0,Indonesia,8197979177,,,-85.843.919,1.161.073.019,https://maps.google.com/?cid=0x0:0x1566d5e2f5bff6ce,
hotel,hotel,Pratama Hotel  Convention Lombok,"Jl. Adi Sucipto No.10, Ampenan Utara, Kec. Ampenan, Kota Mataram, Nusa Tenggara Bar. 83113","Ampenan Utara, Kec. Ampenan, Kota Mataram",NUSA TENGGARA BARAT,83113.0,Indonesia,87865029102,,,-8.564.824,116.099.292,https://maps.google.com/?cid=0x0:0x1a0f3af91817229b,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x1a0f3af91817229b%7C/g/11b6dfnj8c%7Cid-ID,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x1566d5e2f5bff6ce%7C/g/1pp2tz_fv%7Cid-ID,
hotel,hotel,Nusa Tenggara Bar. 83114,"Kota Mataram, Nusa Tenggara Bar.","Kota Mataram, Nusa Tenggara Bar.",NUSA TENGGARA BARAT,,Indonesia,,,,-85.855.946,1.160.857.155,https://maps.google.com/?cid=0x0:0x1c00c5eb6016c410,
hotel,hotel,Prime Park Hotel  Convention Lombok,"Jl. Udayana No.16, Monjok Bar., Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83121","Monjok Bar., Kec. Selaparang, Kota Mataram",NUSA TENGGARA BARAT,83121.0,Indonesia,3706112000,,,-85.764.856,1.161.026.698,https://maps.google.com/?cid=0x0:0x97c7983c1f1bf06c,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x97c7983c1f1bf06c%7C/g/11g873xmbs%7Cid-ID,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x290c4c74b776b887%7C/g/11xwcrn3h%7Cid-ID,
hotel,hotel,Aston Inn Mataram,"Jl. Panca Usaha No.1, Cilinaya, Kec. Cakranegara, Kota Mataram, Nusa Tenggara Bar. 83239","Cilinaya, Kec. Cakranegara, Kota Mataram",NUSA TENGGARA BARAT,83239.0,Indonesia,3707505000,,,-85.887.135,1.161.180.948,https://maps.google.com/?cid=0x0:0x5fe5239bc046779e,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x5fe5239bc046779e%7C/g/11cn93ch48%7Cid-ID,
hotel,hotel,Lombok Astoria,"Jl. Jend. Sudirman No.40, Rembiga, Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83124","Rembiga, Kec. Selaparang, Kota Mataram",NUSA TENGGARA BARAT,83124.0,Indonesia,3706170999,,,-85.647.115,1.161.209.114,https://maps.google.com/?cid=0x0:0x45ecf492cff9eca0,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x45ecf492cff9eca0%7C/g/11ckvkqfrp%7Cid-ID,
hotel,hotel,Mataram Square Hotel,"Jl. R Suprapto No.21A, Taman Sari, Kec. Ampenan, Kota Mataram, Nusa Tenggara Bar. 83112","Taman Sari, Kec. Ampenan, Kota Mataram",NUSA TENGGARA BARAT,83112.0,Indonesia,370631919,,,-85.822.309,1.160.861.383,https://maps.google.com/?cid=0x0:0x62fce22eaf80ea11,
hotel,hotel,Grand Inn Hotel Lombok,"Jl. Arya Banjar Getas, Tj. Karang Permai, Kec. Sekarbela, Kota Mataram, Nusa Tenggara Bar. 83114","Tj. Karang Permai, Kec. Sekarbela, Kota Mataram",NUSA TENGGARA BARAT,83114.0,Indonesia,2129707601,,,-8.594.524,116.076.206,https://maps.google.com/?cid=0x0:0x5587ad94758144d9,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x5587ad94758144d9%7C/g/11b73rfpxy%7Cid-ID,
hotel,hotel,Narmada Convention Hall,"Jl. Majapahit No.11, Pagesangan Bar., Kec. Mataram, Kota Mataram, Nusa Tenggara Bar. 83115","Pagesangan Bar., Kec. Mataram, Kota Mataram",NUSA TENGGARA BARAT,83115.0,Indonesia,,,,-85.936.331,1.160.973.773,https://maps.google.com/?cid=0x0:0x2aea86d17253f079,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x2aea86d17253f079%7C/g/11cff1wpv%7Cid-ID,
hotel,hotel,NUTANA HOTEL LOMBOK,"Jl. Airlangga Cakranegara Selatan No.14, Mataram Bar., Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83126","Mataram Bar., Kec. Selaparang, Kota Mataram",NUSA TENGGARA BARAT,83126.0,Indonesia,370624703,,,-85.874.565,1.161.005.221,https://maps.google.com/?cid=0x0:0x8b508d89bd69261e,
hotel,hotel,RedDoorz near Mataram University,"Jl. Majapahit No.29, Taman Sari, Kec. Ampenan, Kota Mataram, Nusa Tenggara Bar. 83114","Taman Sari, Kec. Ampenan, Kota Mataram",NUSA TENGGARA BARAT,83114.0,Indonesia,"8,95417E+11",,,-85.831.065,1.160.863.431,https://maps.google.com/?cid=0x0:0xb4192855af5337a1,
hotel,hotel,Hotel Sapadia Mataram,"C34W+JXH, Pagesangan Bar., Kec. Mataram, Kota Mataram, Nusa Tenggara Bar. 83115","Pagesangan Bar., Kec. Mataram, Kota Mataram",NUSA TENGGARA BARAT,83115.0,Indonesia,,,,-85.934.282,1.160.974.995,https://maps.google.com/?cid=0x0:0xc4f456bdb0784c09,
hotel,hotel,Lombok Raya Hotel,"Jl. Panca Usaha No.11, Cilinaya, Kec. Cakranegara, Kota Mataram, Nusa Tenggara Bar. 83231","Cilinaya, Kec. Cakranegara, Kota Mataram",NUSA TENGGARA BARAT,83231.0,Indonesia,370632305,,,-85.898.964,1.161.186.695,https://maps.google.com/?cid=0x0:0xcfe52a9fac79d466,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xcfe52a9fac79d466%7C/g/1vyr83mv%7Cid-ID,
hotel,hotel,Golden Palace Hotel Lombok,"Jl. Sriwijaya No.38, Sapta Marga, Kec. Cakranegara, Kota Mataram, Nusa Tenggara Bar. 83232","Sapta Marga, Kec. Cakranegara, Kota Mataram",NUSA TENGGARA BARAT,83232.0,Indonesia,3706170000,,,-85.940.627,1.161.220.484,https://maps.google.com/?cid=0x0:0x165bac21d00bf43d,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x165bac21d00bf43d%7C/g/11b60rgw4p%7Cid-ID,
hotel,hotel,RedDoorz @ Ampenan Mataram Lombok,"Gg. Baracuda, Ampenan Sel., Kec. Ampenan, Kota Mataram, Nusa Tenggara Bar. 83114","Ampenan Sel., Kec. Ampenan, Kota Mataram",NUSA TENGGARA BARAT,83114.0,Indonesia,"8,95417E+11",,,-8.585.556,116.075.831,https://maps.google.com/?cid=0x0:0xf1b9e800898b9774,
hotel,hotel,Grand Madani Hotel,"Jl. Udayana No.20, Monjok Bar., Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83122","Monjok Bar., Kec. Selaparang, Kota Mataram",NUSA TENGGARA BARAT,83122.0,Indonesia,81907000525,,,-85.754.969,11.610.281,https://maps.google.com/?cid=0x0:0xdf5f1bdd05645429,
hotel,hotel,GRIYA ASRI HOTEL,"Jl. Pendidikan No.58, Dasan Agung Baru, Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83125","Dasan Agung Baru, Kec. Selaparang, Kota Mataram",NUSA TENGGARA BARAT,83125.0,Indonesia,81910099666,,,-85.805.496,1.160.904.137,https://maps.google.com/?cid=0x0:0x53c9049204a5cf4e,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xdf5f1bdd05645429%7C/g/11bx8j2b_7%7Cid-ID,
hotel,hotel,favehotel Langko Mataram,"Jl. Langko No.21-23, Dasan Agung Baru, Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83125","Dasan Agung Baru, Kec. Selaparang, Kota Mataram",NUSA TENGGARA BARAT,83125.0,Indonesia,3706170111,,,-85.805.612,1.160.976.407,https://maps.google.com/?cid=0x0:0xa2663dcf0feca354,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xa2663dcf0feca354%7C/g/11b6m11rsc%7Cid-ID,
hotel,hotel,Zavana Rooms,"Jl. Panji Anom III No.36, Kekalik Jaya, Kec. Sekarbela, Kota Mataram, Nusa Tenggara Bar. 83116","Kekalik Jaya, Kec. Sekarbela, Kota Mataram",NUSA TENGGARA BARAT,83116.0,Indonesia,87788152227,,,-85.921.673,1.160.872.171,https://maps.google.com/?cid=0x0:0x7b311904ab30f2cc,
hotel,hotel,Kost  Homestay 911,"Jl. Ubur-Ubur Raya No.911, Taman Sari, Kec. Ampenan, Kota Mataram, Nusa Tenggara Bar. 83114","Taman Sari, Kec. Ampenan, Kota Mataram",NUSA TENGGARA BARAT,83114.0,Indonesia,2129707601,,,-85.856.029,1.160.789.467,https://maps.google.com/?cid=0x0:0x95946eb10457e534,
hotel,hotel,Sunwood Hotel Arianz Mataram,"Jl. Catur Warga No.33, Mataram Bar., Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83126","Mataram Bar., Kec. Selaparang, Kota Mataram",NUSA TENGGARA BARAT,83126.0,Indonesia,8197979177,,,-85.843.919,1.161.073.019,https://maps.google.com/?cid=0x0:0x1566d5e2f5bff6ce,
hotel,hotel,Prime Park Hotel  Convention Lombok,"Jl. Udayana No.16, Monjok Bar., Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83121","Monjok Bar., Kec. Selaparang, Kota Mataram",NUSA TENGGARA BARAT,83121.0,Indonesia,3706112000,,,-85.764.856,1.161.026.698,https://maps.google.com/?cid=0x0:0x97c7983c1f1bf06c,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x97c7983c1f1bf06c%7C/g/11g873xmbs%7Cid-ID,
hotel,hotel,Nusa Tenggara Bar. 83118,"Kb. Sari, Kec. Ampenan, Kota Mataram, Nusa Tenggara Bar.","Kota Mataram, Nusa Tenggara Bar.",NUSA TENGGARA BARAT,,Indonesia,,,,-85.764.571,1.160.939.736,https://maps.google.com/?cid=0x0:0xafeceea236fd7d18,
hotel,hotel,,,,NUSA TENGGARA BARAT,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0x290c4c74b776b887%7C/g/11xwcrn3h%7Cid-ID,
hotel,hotel,Aston Inn Mataram,"Jl. Panca Usaha No.1, Cilinaya, Kec. Cakranegara, Kota Mataram, Nusa Tenggara Bar. 83239","Cilinaya, Kec. Cakranegara, Kota Mataram",NUSA TENGGARA BARAT,83239.0,Indonesia,3707505000,,,-85.887.135,1.161.180.948,https://maps.google.com/?cid=0x0:0x5fe5239bc046779e,
