Category,Real Category,Business Name,Address,City,State,Postal Code,Country,Phone,Email,Website,Latitude,Longitude,Map Link,Details Link
hotel,hotel,Hotel Tita 2,"Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716","Kec. Kotamobagu Bar., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,43423567.0,,,0.7400088,1.243.167.784,https://maps.google.com/?cid=0x0:0x53fcc4b84ea71b9e,
hotel,hotel,GG HOTEL,"Mongondow, Kec. Kotamobagu Sel., Kota Kotamobagu, Sulawesi Utara 95716","Kec. Kotamobagu Sel., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,85298868559.0,,,0.7255497,1.242.935.748,https://maps.google.com/?cid=0x0:0xc49131574f9f1f68,
hotel,hotel,Hotel Mulia Lolak,"Jl. Trans-Sulawesi, Lalow, Kec. Lolak, Kabupaten Bolaang Mongondow, Sulawesi Utara","Kabupaten Bolaang Mongondow, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85298113269.0,,,0.882613,1.240.267.222,https://maps.google.com/?cid=0x0:0x7cf22d3b0f737f84,
hotel,hotel,Kec. Kotamobagu Bar.,"Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,0.7429438,1.243.085.124,https://maps.google.com/?cid=0x0:0x68204053ca066af1,
hotel,hotel,Hotel Sutanraja Kotamobagu,"Jl. Siliwangi, Kobo Besar, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara 95716","Kobo Besar, Kec. Kotamobagu Tim., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,4342621888.0,,,0.7258411,124.324.954,https://maps.google.com/?cid=0x0:0xc880a9c3bf234150,
hotel,hotel,,,,SULAWESI UTARA,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xc880a9c3bf234150%7C/g/11cjkq28dv%7Cen-ID,
hotel,hotel,Tamasya Garden Hotel,"P8R8+2G3, Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716","Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,43421195.0,,,0.7400163,1.243.163.116,https://maps.google.com/?cid=0x0:0x55598f9108b0aaf6,
hotel,hotel,Hotel Senator,"P8R9+2FR, Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,0.7401092,1.243.186.494,https://maps.google.com/?cid=0x0:0x39bdad2d836b467d,
hotel,hotel,Hotel Totabuan Citawaya Kotamobagu,"Jl. Lintas Sinindian Sinindian Kotamobagu Timur, Mogolaing, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716","Mogolaing, Kec. Kotamobagu Bar., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,43424100.0,,,0.7287365,1.243.065.549,https://maps.google.com/?cid=0x0:0xcb6aedbd82abd616,
hotel,hotel,RedDoorz @ Family Syariah Homestay kotamobagu,"P8H5+95F, Sinindian, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,895417300072.0,,,0.7284141,1.243.079.715,https://maps.google.com/?cid=0x0:0x56084189945dcd1e,
hotel,hotel,Hotel Tentram,"Jl. Adampe Dolot No.19B, Mogolaing, Kec. Kotamobagu Bar., Kabupaten Bolaang Mongondow, Sulawesi Utara 95716","Mogolaing, Kec. Kotamobagu Bar., Kabupaten Bolaang Mongondow",SULAWESI UTARA,95716,Indonesia,81356129601.0,,,0.7376332,1.243.085.315,https://maps.google.com/?cid=0x0:0x932ee3ba203385c0,
hotel,hotel,GG HOTEL,"Mongondow, Kec. Kotamobagu Sel., Kota Kotamobagu, Sulawesi Utara 95716","Kec. Kotamobagu Sel., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,85298868559.0,,,0.7255497,1.242.935.748,https://maps.google.com/?cid=0x0:0xc49131574f9f1f68,
hotel,hotel,Permata Homestay Kotamobagu,"Depan Rumah Dinas BRI, Jl. Lintas, Sinindian, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara 95718","Jl. Lintas, Sinindian, Kec. Kotamobagu Tim., Kota Kotamobagu",SULAWESI UTARA,95718,Indonesia,895417300072.0,,,0.7280845,1.243.088.849,https://maps.google.com/?cid=0x0:0xb49345ce7fa15337,
hotel,hotel,Hotel Tita 2,"Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716","Kec. Kotamobagu Bar., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,43423567.0,,,0.7400088,1.243.167.784,https://maps.google.com/?cid=0x0:0x53fcc4b84ea71b9e,
hotel,hotel,Hotel Ade Irma Kotamobagu,"Jl. Panjaitan, Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85656415756.0,,,0.7401203,1.243.122.558,https://maps.google.com/?cid=0x0:0xbed27a97f3b5c1d4,
hotel,hotel,Hotel Mulia Lolak,"Jl. Trans-Sulawesi, Lalow, Kec. Lolak, Kabupaten Bolaang Mongondow, Sulawesi Utara","Kabupaten Bolaang Mongondow, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85298113269.0,,,0.882613,1.240.267.222,https://maps.google.com/?cid=0x0:0x7cf22d3b0f737f84,
hotel,hotel,Kec. Kotamobagu Sel.,"Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,0.7240463,124.293.299,https://maps.google.com/?cid=0x0:0x270b5a3d87842fb7,
hotel,hotel,Hotel Sutanraja Kotamobagu,"Jl. Siliwangi, Kobo Besar, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara 95716","Kobo Besar, Kec. Kotamobagu Tim., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,4342621888.0,,,0.7258411,124.324.954,https://maps.google.com/?cid=0x0:0xc880a9c3bf234150,
hotel,hotel,,,,SULAWESI UTARA,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xc880a9c3bf234150%7C/g/11cjkq28dv%7Cen-ID,
hotel,hotel,Tamasya Garden Hotel,"P8R8+2G3, Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716","Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,43421195.0,,,0.7400163,1.243.163.116,https://maps.google.com/?cid=0x0:0x55598f9108b0aaf6,
hotel,hotel,RedDoorz @ Family Syariah Homestay kotamobagu,"P8H5+95F, Sinindian, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,895417300072.0,,,0.7284141,1.243.079.715,https://maps.google.com/?cid=0x0:0x56084189945dcd1e,
hotel,hotel,Hotel Senator,"P8R9+2FR, Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,0.7401092,1.243.186.494,https://maps.google.com/?cid=0x0:0x39bdad2d836b467d,
hotel,hotel,Hotel Totabuan Citawaya Kotamobagu,"Jl. Lintas Sinindian Sinindian Kotamobagu Timur, Mogolaing, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716","Mogolaing, Kec. Kotamobagu Bar., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,43424100.0,,,0.7287365,1.243.065.549,https://maps.google.com/?cid=0x0:0xcb6aedbd82abd616,
hotel,hotel,GG HOTEL,"Mongondow, Kec. Kotamobagu Sel., Kota Kotamobagu, Sulawesi Utara 95716","Kec. Kotamobagu Sel., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,85298868559.0,,,0.7255497,1.242.935.748,https://maps.google.com/?cid=0x0:0xc49131574f9f1f68,
hotel,hotel,Permata Homestay Kotamobagu,"Depan Rumah Dinas BRI, Jl. Lintas, Sinindian, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara 95718","Jl. Lintas, Sinindian, Kec. Kotamobagu Tim., Kota Kotamobagu",SULAWESI UTARA,95718,Indonesia,895417300072.0,,,0.7280845,1.243.088.849,https://maps.google.com/?cid=0x0:0xb49345ce7fa15337,
hotel,hotel,Hotel Tentram,"Jl. Adampe Dolot No.19B, Mogolaing, Kec. Kotamobagu Bar., Kabupaten Bolaang Mongondow, Sulawesi Utara 95716","Mogolaing, Kec. Kotamobagu Bar., Kabupaten Bolaang Mongondow",SULAWESI UTARA,95716,Indonesia,81356129601.0,,,0.7376332,1.243.085.315,https://maps.google.com/?cid=0x0:0x932ee3ba203385c0,
hotel,hotel,Hotel Tita 2,"Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716","Kec. Kotamobagu Bar., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,43423567.0,,,0.7400088,1.243.167.784,https://maps.google.com/?cid=0x0:0x53fcc4b84ea71b9e,
hotel,hotel,Hotel Ade Irma Kotamobagu,"Jl. Panjaitan, Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85656415756.0,,,0.7401203,1.243.122.558,https://maps.google.com/?cid=0x0:0xbed27a97f3b5c1d4,
hotel,hotel,Hotel Mulia Lolak,"Jl. Trans-Sulawesi, Lalow, Kec. Lolak, Kabupaten Bolaang Mongondow, Sulawesi Utara","Kabupaten Bolaang Mongondow, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85298113269.0,,,0.882613,1.240.267.222,https://maps.google.com/?cid=0x0:0x7cf22d3b0f737f84,
hotel,hotel,Kec. Kotamobagu Tim.,"Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,0.7377324,1.243.224.496,https://maps.google.com/?cid=0x0:0xf276a13be322dc46,
hotel,hotel,Hotel Sutanraja Kotamobagu,"Jl. Siliwangi, Kobo Besar, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara 95716","Kobo Besar, Kec. Kotamobagu Tim., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,4342621888.0,,,0.7258411,124.324.954,https://maps.google.com/?cid=0x0:0xc880a9c3bf234150,
hotel,hotel,,,,SULAWESI UTARA,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xc880a9c3bf234150%7C/g/11cjkq28dv%7Cen-ID,
hotel,hotel,Tamasya Garden Hotel,"P8R8+2G3, Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716","Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,43421195.0,,,0.7400163,1.243.163.116,https://maps.google.com/?cid=0x0:0x55598f9108b0aaf6,
hotel,hotel,Hotel Senator,"P8R9+2FR, Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,0.7401092,1.243.186.494,https://maps.google.com/?cid=0x0:0x39bdad2d836b467d,
hotel,hotel,RedDoorz @ Family Syariah Homestay kotamobagu,"P8H5+95F, Sinindian, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,895417300072.0,,,0.7284141,1.243.079.715,https://maps.google.com/?cid=0x0:0x56084189945dcd1e,
hotel,hotel,Hotel Totabuan Citawaya Kotamobagu,"Jl. Lintas Sinindian Sinindian Kotamobagu Timur, Mogolaing, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716","Mogolaing, Kec. Kotamobagu Bar., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,43424100.0,,,0.7287365,1.243.065.549,https://maps.google.com/?cid=0x0:0xcb6aedbd82abd616,
hotel,hotel,Permata Homestay Kotamobagu,"Depan Rumah Dinas BRI, Jl. Lintas, Sinindian, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara 95718","Jl. Lintas, Sinindian, Kec. Kotamobagu Tim., Kota Kotamobagu",SULAWESI UTARA,95718,Indonesia,895417300072.0,,,0.7280845,1.243.088.849,https://maps.google.com/?cid=0x0:0xb49345ce7fa15337,
hotel,hotel,Hotel Tentram,"Jl. Adampe Dolot No.19B, Mogolaing, Kec. Kotamobagu Bar., Kabupaten Bolaang Mongondow, Sulawesi Utara 95716","Mogolaing, Kec. Kotamobagu Bar., Kabupaten Bolaang Mongondow",SULAWESI UTARA,95716,Indonesia,81356129601.0,,,0.7376332,1.243.085.315,https://maps.google.com/?cid=0x0:0x932ee3ba203385c0,
hotel,hotel,GG HOTEL,"Mongondow, Kec. Kotamobagu Sel., Kota Kotamobagu, Sulawesi Utara 95716","Kec. Kotamobagu Sel., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,85298868559.0,,,0.7255497,1.242.935.748,https://maps.google.com/?cid=0x0:0xc49131574f9f1f68,
hotel,hotel,Hotel Tita 2,"Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716","Kec. Kotamobagu Bar., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,43423567.0,,,0.7400088,1.243.167.784,https://maps.google.com/?cid=0x0:0x53fcc4b84ea71b9e,
hotel,hotel,Hotel Ade Irma Kotamobagu,"Jl. Panjaitan, Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85656415756.0,,,0.7401203,1.243.122.558,https://maps.google.com/?cid=0x0:0xbed27a97f3b5c1d4,
hotel,hotel,Sulawesi Utara 95716,"Mogolaing, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,0.7331339,1.243.035.249,https://maps.google.com/?cid=0x0:0xb303343be4233a,
hotel,hotel,Hotel Sutanraja Kotamobagu,"Jl. Siliwangi, Kobo Besar, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara 95716","Kobo Besar, Kec. Kotamobagu Tim., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,4342621888.0,,,0.7258411,124.324.954,https://maps.google.com/?cid=0x0:0xc880a9c3bf234150,
hotel,hotel,,,,SULAWESI UTARA,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xc880a9c3bf234150%7C/g/11cjkq28dv%7Cen-ID,
hotel,hotel,Tamasya Garden Hotel,"P8R8+2G3, Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716","Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,43421195.0,,,0.7400163,1.243.163.116,https://maps.google.com/?cid=0x0:0x55598f9108b0aaf6,
hotel,Hotel,RedDoorz @ Family Syariah Homestay kotamobagu,"P8H5+95F, Sinindian, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,895417300072.0,,,0.7284141,1.243.079.715,https://maps.google.com/?cid=0x0:0x56084189945dcd1e,
hotel,hotel,Hotel Totabuan Citawaya Kotamobagu,"Jl. Lintas Sinindian Sinindian Kotamobagu Timur, Mogolaing, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716","Mogolaing, Kec. Kotamobagu Bar., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,43424100.0,,,0.7287365,1.243.065.549,https://maps.google.com/?cid=0x0:0xcb6aedbd82abd616,
hotel,hotel,Hotel Senator,"P8R9+2FR, Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,0.7401092,1.243.186.494,https://maps.google.com/?cid=0x0:0x39bdad2d836b467d,
hotel,hotel,Permata Homestay Kotamobagu,"Depan Rumah Dinas BRI, Jl. Lintas, Sinindian, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara 95718","Jl. Lintas, Sinindian, Kec. Kotamobagu Tim., Kota Kotamobagu",SULAWESI UTARA,95718,Indonesia,895417300072.0,,,0.7280845,1.243.088.849,https://maps.google.com/?cid=0x0:0xb49345ce7fa15337,
hotel,hotel,Hotel Tentram,"Jl. Adampe Dolot No.19B, Mogolaing, Kec. Kotamobagu Bar., Kabupaten Bolaang Mongondow, Sulawesi Utara 95716","Mogolaing, Kec. Kotamobagu Bar., Kabupaten Bolaang Mongondow",SULAWESI UTARA,95716,Indonesia,81356129601.0,,,0.7376332,1.243.085.315,https://maps.google.com/?cid=0x0:0x932ee3ba203385c0,
hotel,hotel,GG HOTEL,"Mongondow, Kec. Kotamobagu Sel., Kota Kotamobagu, Sulawesi Utara 95716","Kec. Kotamobagu Sel., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,85298868559.0,,,0.7255497,1.242.935.748,https://maps.google.com/?cid=0x0:0xc49131574f9f1f68,
hotel,hotel,Hotel Tita 2,"Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716","Kec. Kotamobagu Bar., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,43423567.0,,,0.7400088,1.243.167.784,https://maps.google.com/?cid=0x0:0x53fcc4b84ea71b9e,
hotel,hotel,Hotel Ade Irma Kotamobagu,"Jl. Panjaitan, Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85656415756.0,,,0.7401203,1.243.122.558,https://maps.google.com/?cid=0x0:0xbed27a97f3b5c1d4,
hotel,hotel,Kec. Kotamobagu Tim.,"Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,0.7377324,1.243.224.496,https://maps.google.com/?cid=0x0:0xf276a13be322dc46,
hotel,hotel,Sulawesi Utara 95718,"Kotabangon, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,0.7331272,1.243.211.987,https://maps.google.com/?cid=0x0:0x3ca38e005d607719,
hotel,hotel,Hotel Sutanraja Kotamobagu,"Jl. Siliwangi, Kobo Besar, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara 95716","Kobo Besar, Kec. Kotamobagu Tim., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,4342621888.0,,,0.7258411,124.324.954,https://maps.google.com/?cid=0x0:0xc880a9c3bf234150,
hotel,hotel,,,,SULAWESI UTARA,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xc880a9c3bf234150%7C/g/11cjkq28dv%7Cen-ID,
hotel,hotel,Tamasya Garden Hotel,"P8R8+2G3, Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716","Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,43421195.0,,,0.7400163,1.243.163.116,https://maps.google.com/?cid=0x0:0x55598f9108b0aaf6,
hotel,hotel,Hotel Senator,"P8R9+2FR, Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,0.7401092,1.243.186.494,https://maps.google.com/?cid=0x0:0x39bdad2d836b467d,
hotel,hotel,RedDoorz @ Family Syariah Homestay kotamobagu,"P8H5+95F, Sinindian, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,895417300072.0,,,0.7284141,1.243.079.715,https://maps.google.com/?cid=0x0:0x56084189945dcd1e,
hotel,hotel,Hotel Totabuan Citawaya Kotamobagu,"Jl. Lintas Sinindian Sinindian Kotamobagu Timur, Mogolaing, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716","Mogolaing, Kec. Kotamobagu Bar., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,43424100.0,,,0.7287365,1.243.065.549,https://maps.google.com/?cid=0x0:0xcb6aedbd82abd616,
hotel,hotel,Permata Homestay Kotamobagu,"Depan Rumah Dinas BRI, Jl. Lintas, Sinindian, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara 95718","Jl. Lintas, Sinindian, Kec. Kotamobagu Tim., Kota Kotamobagu",SULAWESI UTARA,95718,Indonesia,895417300072.0,,,0.7280845,1.243.088.849,https://maps.google.com/?cid=0x0:0xb49345ce7fa15337,
hotel,hotel,Hotel Tentram,"Jl. Adampe Dolot No.19B, Mogolaing, Kec. Kotamobagu Bar., Kabupaten Bolaang Mongondow, Sulawesi Utara 95716","Mogolaing, Kec. Kotamobagu Bar., Kabupaten Bolaang Mongondow",SULAWESI UTARA,95716,Indonesia,81356129601.0,,,0.7376332,1.243.085.315,https://maps.google.com/?cid=0x0:0x932ee3ba203385c0,
hotel,hotel,Hotel Tita 2,"Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716","Kec. Kotamobagu Bar., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,43423567.0,,,0.7400088,1.243.167.784,https://maps.google.com/?cid=0x0:0x53fcc4b84ea71b9e,
hotel,hotel,GG HOTEL,"Mongondow, Kec. Kotamobagu Sel., Kota Kotamobagu, Sulawesi Utara 95716","Kec. Kotamobagu Sel., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,85298868559.0,,,0.7255497,1.242.935.748,https://maps.google.com/?cid=0x0:0xc49131574f9f1f68,
hotel,Hotel,Hotel Ade Irma Kotamobagu,"Jl. Panjaitan, Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,85656415756.0,,,0.7401203,1.243.122.558,https://maps.google.com/?cid=0x0:0xbed27a97f3b5c1d4,
hotel,hotel,Kec. Kotamobagu Tim.,"Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,0.7377324,1.243.224.496,https://maps.google.com/?cid=0x0:0xf276a13be322dc46,
hotel,hotel,Hotel Sutanraja Kotamobagu,"Jl. Siliwangi, Kobo Besar, Kec. Kotamobagu Tim., Kota Kotamobagu, Sulawesi Utara 95716","Kobo Besar, Kec. Kotamobagu Tim., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,4342621888.0,,,0.7258411,124.324.954,https://maps.google.com/?cid=0x0:0xc880a9c3bf234150,
hotel,hotel,,,,SULAWESI UTARA,,Indonesia,,,,,,https://maps.google.com/?cid=0x0:0xc880a9c3bf234150%7C/g/11cjkq28dv%7Cen-ID,
hotel,hotel,Tamasya Garden Hotel,"P8R8+2G3, Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara 95716","Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu",SULAWESI UTARA,95716,Indonesia,43421195.0,,,0.7400163,1.243.163.116,https://maps.google.com/?cid=0x0:0x55598f9108b0aaf6,
hotel,hotel,Hotel Senator,"P8R9+2FR, Kotamobagu, Kec. Kotamobagu Bar., Kota Kotamobagu, Sulawesi Utara","Kota Kotamobagu, Sulawesi Utara",SULAWESI UTARA,,Indonesia,,,,0.7401092,1.243.186.494,https://maps.google.com/?cid=0x0:0x39bdad2d836b467d,
