Category;Real Category;Business Name;Address;City;State;Postal Code;Country;Phone;Email;Website;Latitude;Longitude;Map Link;Details Link
hardware store;hardware store;TB. Hatuluang;"Jl. Amanhuse, Amahusu, Kec. Nusaniwe, Kota Ambon, Maluku 97117";"Amahusu, Kec. Nusaniwe, Kota Ambon";MALUKU;97117;Indonesia;081343002177;;;-37.167.352;1.281.497.337;https://maps.google.com/?cid=0x0:0xf28fc657ba3dfb37;
hardware store;Toko Perlengkapan Rumah;CV BENUA;"Jl. Yos Sudarso No.87, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;0911349435;;;-36.939.435;1.281.785.956;https://maps.google.com/?cid=0x0:0x99374a3936ff0d10;
hardware store;Toko Alat Listrik;Toko Manise Elektrik (Listrik dan Elektronik);"Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;082217150968;;;-36.964.317;128.178.479;https://maps.google.com/?cid=0x0:0x9f179bb8a57d32e5;
hardware store;Pusat Perbelanjaan;Toko Sahabat Baru;"856M+P92, Jl. Pantai Mardika, Kel Rijali, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;;;;-36.882.488;1.281.833.963;https://maps.google.com/?cid=0x0:0x3cefe505c787bca7;
hardware store;Toko Alat Listrik;TOKO LISTRIK SINAR KASIH AMBON;"Jl. AM Sangaji No.22, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku 97126";"Kel Honipopu, Kec. Sirimau, Kota Ambon";MALUKU;97126;Indonesia;081285750033;;;-36.970.002;1.281.785.841;https://maps.google.com/?cid=0x0:0xbc5c216771034773;
hardware store;Toko Alat Listrik;Toko Manise Elektrik (Listrik dan Elektronik);"Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;082217150968;;;-36.964.317;128.178.479;https://maps.google.com/?cid=0x0:0x9f179bb8a57d32e5;
hardware store;hardware store;Kec. Nusaniwe;"Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;;;;-37.050.795;128.174.458;https://maps.google.com/?cid=0x0:0x3f13997f42549327;
hardware store;Toko Bahan Bangunan;TB. Surya Indah;"856Q+X37, Jl. Jenderal Sudirman, Kel Amantelu, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;085267858883;;;-36.875.757;1.281.876.863;https://maps.google.com/?cid=0x0:0xfb3cd8cbd8c3ad43;
hardware store;Toko Bahan Bangunan;Toko Aneka Guna Truly Asia;"Jl. Sam Ratulangi No.91, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;082397301030;;;-36.951.536;128.178.838;https://maps.google.com/?cid=0x0:0x5fa45f6789fe5f7e;
hardware store;Toko Bahan Bangunan;Toko Aneka Guna Batu Gantung;"Dr. Sitanala, Kel Wainitu, Kec. Nusaniwe, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;082397301030;;;-37.045.248;1.281.750.092;https://maps.google.com/?cid=0x0:0xb171b31bd596ac13;
hardware store;Toko Karpet;Toko Sumber Berkat;"Jl. W.R. Supratman No.19, Uritetu, Kec. Sirimau, Kota Ambon, Maluku 97124";"Uritetu, Kec. Sirimau, Kota Ambon";MALUKU;97124;Indonesia;081344850907;;;-36.932.047;1.281.849.976;https://maps.google.com/?cid=0x0:0x7894d5a241022137;
hardware store;Toko Bahan Bangunan;Toko Imdah;"75Q5+W62, kEL NUSANIWE, Kec. Nusaniwe, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;081617551247;;;-3.710.247;128.158.025;https://maps.google.com/?cid=0x0:0x65b2bedcf3aa674d;
hardware store;Toko;Toko Sumber Bangunan;"Jl. Dr. Soetomo No.1, Kel Ahusen, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;085105250000;;;-36.988.397;1.281.797.195;https://maps.google.com/?cid=0x0:0x3053d9a1e46c6d42;
hardware store;Toko Bahan Bangunan;Toko ANGIN TIMUR;"Jl. Rijali No.40, Kel Karang Panjang, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;085768717059;;;-36.907.355;1.281.883.901;https://maps.google.com/?cid=0x0:0x2563b2060eb7a77;
hardware store;Toko Alat Kelautan;Toko Perkakas Krisbow;"Jl. Diponegoro No.25, Kel Benteng, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;082279652258;;;-36.993.109;1.281.812.407;https://maps.google.com/?cid=0x0:0xd13eef8836872a02;
hardware store;Toko;Toko Serba Bangunan Ambon;"Jl. Philip Latumahina No.10, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;081283093876;;;-3.696.513;1.281.813.331;https://maps.google.com/?cid=0x0:0x38f3a5a63eb288ff;
hardware store;Toko Perlengkapan Rumah;MR.DIY Ambon Plaza;"Ambon Plaza, Jl. Sam Ratulangi Lt. IV, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku 97126";"Jl. Sam Ratulangi Lt. IV, Kel Honipopu, Kec. Sirimau, Kota Ambon";MALUKU;97126;Indonesia;;;;-36.935.696;1.281.799.431;https://maps.google.com/?cid=0x0:0x850cdfa939fbcb44;
hardware store;Toko Bahan Bangunan;Dunia Bangunan Toko;"Jl. Yos Sudarso, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;085183951351;;;-36.926.774;1.281.796.048;https://maps.google.com/?cid=0x0:0xbaf2cf92502d03b5;
hardware store;Toko Alat Tulis Kantor;STELA STATIONERY;"Depan Gereja Katolik Hati Kudus Yesus, Batu Gantong, Jl. DR. Siwabessy, Kel Wainitu, Kec. Nusaniwe, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;082199824168;;;-3.705.414;1.281.728.134;https://maps.google.com/?cid=0x0:0x2ffa59996d0adb8d;
hardware store;Toko Bahan Bangunan;Toko Bhinneka Bangunan;"Jl. DR. Siwabessy, Kel Kudamati, Kec. Nusaniwe, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;;;;-37.047.065;1.281.751.239;https://maps.google.com/?cid=0x0:0x15c6fb7d9881641a;
hardware store;Toko Bahan Bangunan;toko bangunan binajaya;"I (turun ke terminal mardika, Jl. Tulukabessy, Kel Rijali, Kec. Sirimau, Kota Ambon, Maluku 97123";"Jl. Tulukabessy, Kel Rijali, Kec. Sirimau, Kota Ambon";MALUKU;97123;Indonesia;08114703887;;;-36.906.986;1.281.844.192;https://maps.google.com/?cid=0x0:0xf520355779dcb94e;
hardware store;Toko Perlengkapan Rumah;CV BENUA;"Jl. Yos Sudarso No.87, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;0911349435;;;-36.939.435;1.281.785.956;https://maps.google.com/?cid=0x0:0x99374a3936ff0d10;
hardware store;hardware store;TB. Hatuluang;"Jl. Amanhuse, Amahusu, Kec. Nusaniwe, Kota Ambon, Maluku 97117";"Amahusu, Kec. Nusaniwe, Kota Ambon";MALUKU;97117;Indonesia;081343002177;;;-37.167.352;1.281.497.337;https://maps.google.com/?cid=0x0:0xf28fc657ba3dfb37;
hardware store;Pusat Perbelanjaan;Toko Sahabat Baru;"856M+P92, Jl. Pantai Mardika, Kel Rijali, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;;;;-36.882.488;1.281.833.963;https://maps.google.com/?cid=0x0:0x3cefe505c787bca7;
hardware store;Toko Bahan Bangunan;UD. Gunung Cahaya;"Jl. Mutiara No.25 A, Kel Wainitu, Kec. Nusaniwe, Kota Ambon, Maluku 97123";"Kel Wainitu, Kec. Nusaniwe, Kota Ambon";MALUKU;97123;Indonesia;0911351324;;;-36.895.692;1.281.852.944;https://maps.google.com/?cid=0x0:0x20c0fe0abd029011;
hardware store;Toko Bahan Bangunan;Tokoh bangunan UD nirwan wayame;"Jl. Ir. M. Putuhena No.31, Wayame, Kec. Tlk. Ambon, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;0911311827;;;-36.647.758;128.166.706;https://maps.google.com/?cid=0x0:0x2b5f5cf2f70f2620;
hardware store;Toko Bahan Bangunan;Toko UD.HN;"86C4+R5G, Hative Kecil, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;081617551247;;;-36.779.499;1.282.054.549;https://maps.google.com/?cid=0x0:0x6ebb1044dc844830;
hardware store;Toko Olahraga Luar Ruangan;EIGER Adventure Store Ambon;"Jl. Jend. A Yani No.53 1957, Kel Batu Meja, Kec. Sirimau, Kota Ambon, Maluku 97125";"Kel Batu Meja, Kec. Sirimau, Kota Ambon";MALUKU;97125;Indonesia;08112184208;;;-36.981.518;128.185.735;https://maps.google.com/?cid=0x0:0x993c39caf87cab42;
hardware store;Toko Alat Listrik;Toko Manise Elektrik (Listrik dan Elektronik);"Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;082217150968;;;-36.964.317;128.178.479;https://maps.google.com/?cid=0x0:0x9f179bb8a57d32e5;
hardware store;Toko Alat Listrik;TOKO LISTRIK SINAR KASIH AMBON;"Jl. AM Sangaji No.22, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku 97126";"Kel Honipopu, Kec. Sirimau, Kota Ambon";MALUKU;97126;Indonesia;081285750033;;;-36.970.002;1.281.785.841;https://maps.google.com/?cid=0x0:0xbc5c216771034773;
hardware store;Toko Bahan Bangunan;Total Tools Ambon Official;"Samping Gereja SiLo Trikora, Jl. Dr. Soetomo No.1, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku 97126";"Jl. Dr. Soetomo No.1, Kel Honipopu, Kec. Sirimau, Kota Ambon";MALUKU;97126;Indonesia;081343337233;;;-36.988.329;1.281.796.916;https://maps.google.com/?cid=0x0:0x542dbeaff8f2453e;
hardware store;hardware store;Kec. Nusaniwe;"Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;;;;-37.050.795;128.174.458;https://maps.google.com/?cid=0x0:0x3f13997f42549327;
hardware store;Toko Bahan Bangunan;Toko Aneka Guna Batu Gantung;"Dr. Sitanala, Kel Wainitu, Kec. Nusaniwe, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;082397301030;;;-37.045.248;1.281.750.092;https://maps.google.com/?cid=0x0:0xb171b31bd596ac13;
hardware store;Toko Bahan Bangunan;TB. Surya Indah;"856Q+X37, Jl. Jenderal Sudirman, Kel Amantelu, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;085267858883;;;-36.875.757;1.281.876.863;https://maps.google.com/?cid=0x0:0xfb3cd8cbd8c3ad43;
hardware store;Toko Karpet;Toko Sumber Berkat;"Jl. W.R. Supratman No.19, Uritetu, Kec. Sirimau, Kota Ambon, Maluku 97124";"Uritetu, Kec. Sirimau, Kota Ambon";MALUKU;97124;Indonesia;081344850907;;;-36.932.047;1.281.849.976;https://maps.google.com/?cid=0x0:0x7894d5a241022137;
hardware store;Toko Bahan Bangunan;Toko Imdah;"75Q5+W62, kEL NUSANIWE, Kec. Nusaniwe, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;081617551247;;;-3.710.247;128.158.025;https://maps.google.com/?cid=0x0:0x65b2bedcf3aa674d;
hardware store;Toko Bahan Bangunan;Toko ANGIN TIMUR;"Jl. Rijali No.40, Kel Karang Panjang, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;085768717059;;;-36.907.355;1.281.883.901;https://maps.google.com/?cid=0x0:0x2563b2060eb7a77;
hardware store;Toko Alat Kelautan;Toko Perkakas Krisbow;"Jl. Diponegoro No.25, Kel Benteng, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;082279652258;;;-36.993.109;1.281.812.407;https://maps.google.com/?cid=0x0:0xd13eef8836872a02;
hardware store;Toko;Toko Sumber Bangunan;"Jl. Dr. Soetomo No.1, Kel Ahusen, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;085105250000;;;-36.988.397;1.281.797.195;https://maps.google.com/?cid=0x0:0x3053d9a1e46c6d42;
hardware store;Toko;Toko Serba Bangunan Ambon;"Jl. Philip Latumahina No.10, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;081283093876;;;-3.696.513;1.281.813.331;https://maps.google.com/?cid=0x0:0x38f3a5a63eb288ff;
hardware store;Toko Perlengkapan Rumah;MR.DIY Ambon Plaza;"Ambon Plaza, Jl. Sam Ratulangi Lt. IV, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku 97126";"Jl. Sam Ratulangi Lt. IV, Kel Honipopu, Kec. Sirimau, Kota Ambon";MALUKU;97126;Indonesia;;;;-36.935.696;1.281.799.431;https://maps.google.com/?cid=0x0:0x850cdfa939fbcb44;
hardware store;Toko Bahan Bangunan;Toko Bhinneka Bangunan;"Jl. DR. Siwabessy, Kel Kudamati, Kec. Nusaniwe, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;;;;-37.047.065;1.281.751.239;https://maps.google.com/?cid=0x0:0x15c6fb7d9881641a;
hardware store;Toko Bahan Bangunan;Dunia Bangunan Toko;"Jl. Yos Sudarso, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;085183951351;;;-36.926.774;1.281.796.048;https://maps.google.com/?cid=0x0:0xbaf2cf92502d03b5;
hardware store;Toko Bahan Bangunan;toko bangunan binajaya;"I (turun ke terminal mardika, Jl. Tulukabessy, Kel Rijali, Kec. Sirimau, Kota Ambon, Maluku 97123";"Jl. Tulukabessy, Kel Rijali, Kec. Sirimau, Kota Ambon";MALUKU;97123;Indonesia;08114703887;;;-36.906.986;1.281.844.192;https://maps.google.com/?cid=0x0:0xf520355779dcb94e;
hardware store;Toko Alat Tulis Kantor;STELA STATIONERY;"Depan Gereja Katolik Hati Kudus Yesus, Batu Gantong, Jl. DR. Siwabessy, Kel Wainitu, Kec. Nusaniwe, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;082199824168;;;-3.705.414;1.281.728.134;https://maps.google.com/?cid=0x0:0x2ffa59996d0adb8d;
hardware store;Toko Bahan Bangunan;UD. Gunung Cahaya;"Jl. Mutiara No.25 A, Kel Wainitu, Kec. Nusaniwe, Kota Ambon, Maluku 97123";"Kel Wainitu, Kec. Nusaniwe, Kota Ambon";MALUKU;97123;Indonesia;0911351324;;;-36.895.692;1.281.852.944;https://maps.google.com/?cid=0x0:0x20c0fe0abd029011;
hardware store;Pusat Perbelanjaan;Toko Sahabat Baru;"856M+P92, Jl. Pantai Mardika, Kel Rijali, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;;;;-36.882.488;1.281.833.963;https://maps.google.com/?cid=0x0:0x3cefe505c787bca7;
hardware store;Toko Perlengkapan Rumah;CV BENUA;"Jl. Yos Sudarso No.87, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;0911349435;;;-36.939.435;1.281.785.956;https://maps.google.com/?cid=0x0:0x99374a3936ff0d10;
hardware store;hardware store;TB. Hatuluang;"Jl. Amanhuse, Amahusu, Kec. Nusaniwe, Kota Ambon, Maluku 97117";"Amahusu, Kec. Nusaniwe, Kota Ambon";MALUKU;97117;Indonesia;081343002177;;;-37.167.352;1.281.497.337;https://maps.google.com/?cid=0x0:0xf28fc657ba3dfb37;
hardware store;Toko Olahraga Luar Ruangan;EIGER Adventure Store Ambon;"Jl. Jend. A Yani No.53 1957, Kel Batu Meja, Kec. Sirimau, Kota Ambon, Maluku 97125";"Kel Batu Meja, Kec. Sirimau, Kota Ambon";MALUKU;97125;Indonesia;08112184208;;;-36.981.518;128.185.735;https://maps.google.com/?cid=0x0:0x993c39caf87cab42;
hardware store;Toko Pakaian;Pasar Tagalaya;"Batu Gantong, Jl. DR. Siwabessy, Kel Mangga Dua, Kec. Nusaniwe, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;081247580466;;;-37.040.895;1.281.755.483;https://maps.google.com/?cid=0x0:0xe9b0e3fde4f3064e;
hardware store;Pasar;Latuhalat;"64FF+J8H, Latuhalat, Kec. Nusaniwe, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;;;;-3.775.619;128.123.539;https://maps.google.com/?cid=0x0:0x9560f8ecb32a357c;
hardware store;Toko Bahan Bangunan;Total Tools Ambon Official;"Samping Gereja SiLo Trikora, Jl. Dr. Soetomo No.1, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku 97126";"Jl. Dr. Soetomo No.1, Kel Honipopu, Kec. Sirimau, Kota Ambon";MALUKU;97126;Indonesia;081343337233;;;-36.988.329;1.281.796.916;https://maps.google.com/?cid=0x0:0x542dbeaff8f2453e;
hardware store;hardware store;Kec. Nusaniwe;"Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;;;;-37.050.795;128.174.458;https://maps.google.com/?cid=0x0:0x3f13997f42549327;
hardware store;Toko Bahan Bangunan;TB. Surya Indah;"856Q+X37, Jl. Jenderal Sudirman, Kel Amantelu, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;085267858883;;;-36.875.757;1.281.876.863;https://maps.google.com/?cid=0x0:0xfb3cd8cbd8c3ad43;
hardware store;Toko Bahan Bangunan;Toko Aneka Guna Batu Gantung;"Dr. Sitanala, Kel Wainitu, Kec. Nusaniwe, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;082397301030;;;-37.045.248;1.281.750.092;https://maps.google.com/?cid=0x0:0xb171b31bd596ac13;
hardware store;Toko Bahan Bangunan;Toko Imdah;"75Q5+W62, kEL NUSANIWE, Kec. Nusaniwe, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;081617551247;;;-3.710.247;128.158.025;https://maps.google.com/?cid=0x0:0x65b2bedcf3aa674d;
hardware store;Toko Karpet;Toko Sumber Berkat;"Jl. W.R. Supratman No.19, Uritetu, Kec. Sirimau, Kota Ambon, Maluku 97124";"Uritetu, Kec. Sirimau, Kota Ambon";MALUKU;97124;Indonesia;081344850907;;;-36.932.047;1.281.849.976;https://maps.google.com/?cid=0x0:0x7894d5a241022137;
hardware store;Toko;Toko Sumber Bangunan;"Jl. Dr. Soetomo No.1, Kel Ahusen, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;085105250000;;;-36.988.397;1.281.797.195;https://maps.google.com/?cid=0x0:0x3053d9a1e46c6d42;
hardware store;Toko Bahan Bangunan;Toko ANGIN TIMUR;"Jl. Rijali No.40, Kel Karang Panjang, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;085768717059;;;-36.907.355;1.281.883.901;https://maps.google.com/?cid=0x0:0x2563b2060eb7a77;
hardware store;Toko;Toko Serba Bangunan Ambon;"Jl. Philip Latumahina No.10, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;081283093876;;;-3.696.513;1.281.813.331;https://maps.google.com/?cid=0x0:0x38f3a5a63eb288ff;
hardware store;Toko Alat Kelautan;Toko Perkakas Krisbow;"Jl. Diponegoro No.25, Kel Benteng, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;082279652258;;;-36.993.109;1.281.812.407;https://maps.google.com/?cid=0x0:0xd13eef8836872a02;
hardware store;Toko Perlengkapan Rumah;MR.DIY Ambon Plaza;"Ambon Plaza, Jl. Sam Ratulangi Lt. IV, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku 97126";"Jl. Sam Ratulangi Lt. IV, Kel Honipopu, Kec. Sirimau, Kota Ambon";MALUKU;97126;Indonesia;;;;-36.935.696;1.281.799.431;https://maps.google.com/?cid=0x0:0x850cdfa939fbcb44;
hardware store;Toko Bahan Bangunan;Toko Bhinneka Bangunan;"Jl. DR. Siwabessy, Kel Kudamati, Kec. Nusaniwe, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;;;;-37.047.065;1.281.751.239;https://maps.google.com/?cid=0x0:0x15c6fb7d9881641a;
hardware store;Toko Bahan Bangunan;Dunia Bangunan Toko;"Jl. Yos Sudarso, Kel Honipopu, Kec. Sirimau, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;085183951351;;;-36.926.774;1.281.796.048;https://maps.google.com/?cid=0x0:0xbaf2cf92502d03b5;
hardware store;Toko Alat Tulis Kantor;STELA STATIONERY;"Depan Gereja Katolik Hati Kudus Yesus, Batu Gantong, Jl. DR. Siwabessy, Kel Wainitu, Kec. Nusaniwe, Kota Ambon, Maluku";"Kota Ambon, Maluku";MALUKU;;Indonesia;082199824168;;;-3.705.414;1.281.728.134;https://maps.google.com/?cid=0x0:0x2ffa59996d0adb8d;
